Start,Finish,Steps (count)
09/01/2022 8:00,09/01/2022 9:00,0
09/01/2022 9:00,09/01/2022 10:00,0
09/01/2022 10:00,09/01/2022 11:00,0
09/01/2022 11:00,09/01/2022 12:00,0
09/01/2022 12:00,09/01/2022 13:00,0
09/01/2022 13:00,09/01/2022 14:00,1972
09/01/2022 14:00,09/01/2022 15:00,9
09/01/2022 15:00,09/01/2022 16:00,0
09/01/2022 16:00,09/01/2022 17:00,0
09/01/2022 17:00,09/01/2022 18:00,0
09/01/2022 18:00,09/01/2022 19:00,0
09/01/2022 19:00,09/01/2022 20:00,683
09/01/2022 20:00,09/01/2022 21:00,0
09/01/2022 21:00,09/01/2022 22:00,0
09/01/2022 22:00,09/01/2022 23:00,20
09/01/2022 23:00,10/01/2022 0:00,0
10/01/2022 0:00,10/01/2022 1:00,0
10/01/2022 1:00,10/01/2022 2:00,0
10/01/2022 2:00,10/01/2022 3:00,0
10/01/2022 3:00,10/01/2022 4:00,0
10/01/2022 4:00,10/01/2022 5:00,0
10/01/2022 5:00,10/01/2022 6:00,0
10/01/2022 6:00,10/01/2022 7:00,0
10/01/2022 7:00,10/01/2022 8:00,0
10/01/2022 8:00,10/01/2022 9:00,0
10/01/2022 9:00,10/01/2022 10:00,0
10/01/2022 10:00,10/01/2022 11:00,0
10/01/2022 11:00,10/01/2022 12:00,0
10/01/2022 12:00,10/01/2022 13:00,0
10/01/2022 13:00,10/01/2022 14:00,0
10/01/2022 14:00,10/01/2022 15:00,551
10/01/2022 15:00,10/01/2022 16:00,0
10/01/2022 16:00,10/01/2022 17:00,0
10/01/2022 17:00,10/01/2022 18:00,0
10/01/2022 18:00,10/01/2022 19:00,0
10/01/2022 19:00,10/01/2022 20:00,0
10/01/2022 20:00,10/01/2022 21:00,0
10/01/2022 21:00,10/01/2022 22:00,0
10/01/2022 22:00,10/01/2022 23:00,0
10/01/2022 23:00,11/01/2022 0:00,0
11/01/2022 0:00,11/01/2022 1:00,0
11/01/2022 1:00,11/01/2022 2:00,0
11/01/2022 2:00,11/01/2022 3:00,0
11/01/2022 3:00,11/01/2022 4:00,0
11/01/2022 4:00,11/01/2022 5:00,0
11/01/2022 5:00,11/01/2022 6:00,0
11/01/2022 6:00,11/01/2022 7:00,0
11/01/2022 7:00,11/01/2022 8:00,0
11/01/2022 8:00,11/01/2022 9:00,0
11/01/2022 9:00,11/01/2022 10:00,19
11/01/2022 10:00,11/01/2022 11:00,0
11/01/2022 11:00,11/01/2022 12:00,0
11/01/2022 12:00,11/01/2022 13:00,8
11/01/2022 13:00,11/01/2022 14:00,0
11/01/2022 14:00,11/01/2022 15:00,16
