Source,Date,Hour,Count
P2 Phone,2022-08-22,20,15
P2 Phone,2022-08-22,21,26
P2’s Apple Watch,2022-08-22,20,16
P2’s Apple Watch,2022-08-22,21,25
P2 Phone,2022-08-22,21,64
P2 Phone,2022-08-22,22,28
P2’s Apple Watch,2022-08-22,21,7
P2’s Apple Watch,2022-08-22,22,2
P2’s Apple Watch,2022-08-22,22,16
P2’s Apple Watch,2022-08-22,22,1
P2’s Apple Watch,2022-08-22,22,1
P2 Phone,2022-08-23,07,146
P2 Phone,2022-08-23,07,126
P2 Phone,2022-08-23,07,85
P2 Phone,2022-08-23,07,2
P2 Phone,2022-08-23,08,50
P2’s Apple Watch,2022-08-22,22,35
P2’s Apple Watch,2022-08-22,23,13
P2’s Apple Watch,2022-08-22,23,18
P2’s Apple Watch,2022-08-23,08,15
P2’s Apple Watch,2022-08-23,08,24
P2’s Apple Watch,2022-08-23,08,29
P2’s Apple Watch,2022-08-23,08,4
P2’s Apple Watch,2022-08-23,08,1
P2’s Apple Watch,2022-08-23,08,11
P2 Phone,2022-08-23,08,118
P2 Phone,2022-08-23,09,54
P2’s Apple Watch,2022-08-23,08,105
P2’s Apple Watch,2022-08-23,09,34
P2’s Apple Watch,2022-08-23,09,21
P2’s Apple Watch,2022-08-23,09,41
P2’s Apple Watch,2022-08-23,09,17
P2’s Apple Watch,2022-08-23,09,15
P2 Phone,2022-08-23,09,87
P2’s Apple Watch,2022-08-23,10,23
P2 Phone,2022-08-23,10,49
P2’s Apple Watch,2022-08-23,10,35
P2 Phone,2022-08-23,11,20
P2 Phone,2022-08-23,11,27
P2’s Apple Watch,2022-08-23,11,24
P2’s Apple Watch,2022-08-23,11,27
P2’s Apple Watch,2022-08-23,11,13
P2 Phone,2022-08-23,12,65
P2’s Apple Watch,2022-08-23,12,27
P2’s Apple Watch,2022-08-23,12,47
P2’s Apple Watch,2022-08-23,12,5
P2’s Apple Watch,2022-08-23,12,8
P2’s Apple Watch,2022-08-23,12,4
P2’s Apple Watch,2022-08-23,12,9
P2’s Apple Watch,2022-08-23,13,18
P2’s Apple Watch,2022-08-23,13,15
P2’s Apple Watch,2022-08-23,13,26
P2’s Apple Watch,2022-08-23,13,5
P2 Phone,2022-08-23,13,30
P2 Phone,2022-08-23,14,56
P2’s Apple Watch,2022-08-23,14,31
P2’s Apple Watch,2022-08-23,14,10
P2’s Apple Watch,2022-08-23,14,21
P2’s Apple Watch,2022-08-23,14,34
P2’s Apple Watch,2022-08-23,14,21
P2’s Apple Watch,2022-08-23,14,20
P2’s Apple Watch,2022-08-23,14,21
P2’s Apple Watch,2022-08-23,14,34
P2’s Apple Watch,2022-08-23,14,9
P2’s Apple Watch,2022-08-23,14,33
P2’s Apple Watch,2022-08-23,14,39
P2’s Apple Watch,2022-08-23,14,11
P2 Phone,2022-08-23,14,74
P2 Phone,2022-08-23,14,20
P2’s Apple Watch,2022-08-23,14,94
P2’s Apple Watch,2022-08-23,14,27
P2 Phone,2022-08-23,15,130
P2 Phone,2022-08-23,15,632
P2’s Apple Watch,2022-08-23,15,125
P2’s Apple Watch,2022-08-23,15,29
P2’s Apple Watch,2022-08-23,15,76
P2’s Apple Watch,2022-08-23,15,123
P2’s Apple Watch,2022-08-23,15,100
P2’s Apple Watch,2022-08-23,15,59
P2’s Apple Watch,2022-08-23,15,426
P2’s Apple Watch,2022-08-23,15,55
P2’s Apple Watch,2022-08-23,15,22
P2 Phone,2022-08-23,15,268
P2 Phone,2022-08-23,15,527
P2 Phone,2022-08-23,15,452
P2’s Apple Watch,2022-08-23,15,512
P2’s Apple Watch,2022-08-23,15,128
P2’s Apple Watch,2022-08-23,15,118
P2’s Apple Watch,2022-08-23,16,26
P2’s Apple Watch,2022-08-23,16,71
P2’s Apple Watch,2022-08-23,16,79
P2’s Apple Watch,2022-08-23,16,22
P2’s Apple Watch,2022-08-23,16,32
P2’s Apple Watch,2022-08-23,16,16
P2’s Apple Watch,2022-08-23,16,16
P2’s Apple Watch,2022-08-23,16,6
P2 Phone,2022-08-23,16,7
P2 Phone,2022-08-23,16,113
P2 Phone,2022-08-23,16,14
P2 Phone,2022-08-23,16,93
P2’s Apple Watch,2022-08-23,16,34
P2’s Apple Watch,2022-08-23,16,25
P2’s Apple Watch,2022-08-23,16,43
P2’s Apple Watch,2022-08-23,16,34
P2’s Apple Watch,2022-08-23,16,25
P2’s Apple Watch,2022-08-23,16,1
P2’s Apple Watch,2022-08-23,16,18
P2’s Apple Watch,2022-08-23,16,194
P2 Phone,2022-08-23,16,43
P2’s Apple Watch,2022-08-23,16,91
P2’s Apple Watch,2022-08-23,16,39
P2’s Apple Watch,2022-08-23,16,22
P2’s Apple Watch,2022-08-23,16,8
P2’s Apple Watch,2022-08-23,17,11
P2’s Apple Watch,2022-08-23,17,39
P2’s Apple Watch,2022-08-23,17,8
P2’s Apple Watch,2022-08-23,17,83
P2’s Apple Watch,2022-08-23,17,31
P2’s Apple Watch,2022-08-23,17,16
P2’s Apple Watch,2022-08-23,17,14
P2’s Apple Watch,2022-08-23,17,16
P2’s Apple Watch,2022-08-23,17,19
P2’s Apple Watch,2022-08-23,17,22
P2’s Apple Watch,2022-08-23,17,16
P2’s Apple Watch,2022-08-23,17,4
P2’s Apple Watch,2022-08-23,17,5
P2’s Apple Watch,2022-08-23,17,9
P2’s Apple Watch,2022-08-23,17,16
P2’s Apple Watch,2022-08-23,18,21
P2’s Apple Watch,2022-08-23,18,25
P2’s Apple Watch,2022-08-23,18,8
P2’s Apple Watch,2022-08-23,18,29
P2’s Apple Watch,2022-08-23,18,24
P2 Phone,2022-08-23,17,62
P2 Phone,2022-08-23,17,70
P2 Phone,2022-08-23,17,12
P2 Phone,2022-08-23,17,59
P2 Phone,2022-08-23,18,38
P2 Phone,2022-08-23,18,39
P2’s Apple Watch,2022-08-23,18,20
P2’s Apple Watch,2022-08-23,18,6
P2’s Apple Watch,2022-08-23,18,23
P2’s Apple Watch,2022-08-23,18,22
P2’s Apple Watch,2022-08-23,18,4
P2’s Apple Watch,2022-08-23,18,18
P2’s Apple Watch,2022-08-23,18,76
P2’s Apple Watch,2022-08-23,18,30
P2’s Apple Watch,2022-08-23,18,23
P2’s Apple Watch,2022-08-23,18,54
P2’s Apple Watch,2022-08-23,18,8
P2 Phone,2022-08-23,18,83
P2 Phone,2022-08-23,18,148
P2 Phone,2022-08-23,18,26
P2’s Apple Watch,2022-08-23,18,94
P2’s Apple Watch,2022-08-23,18,11
P2’s Apple Watch,2022-08-23,19,18
P2’s Apple Watch,2022-08-23,19,59
P2’s Apple Watch,2022-08-23,19,3
P2’s Apple Watch,2022-08-23,19,16
P2’s Apple Watch,2022-08-23,22,22
P2 Phone,2022-08-23,19,18
P2 Phone,2022-08-23,22,12
P2 Phone,2022-08-23,22,127
P2 Phone,2022-08-23,22,43
P2 Phone,2022-08-24,06,9
P2’s Apple Watch,2022-08-23,22,42
P2’s Apple Watch,2022-08-23,22,5
P2’s Apple Watch,2022-08-23,22,21
P2’s Apple Watch,2022-08-23,22,221
P2’s Apple Watch,2022-08-23,22,7
P2’s Apple Watch,2022-08-24,06,320
P2’s Apple Watch,2022-08-24,07,67
P2’s Apple Watch,2022-08-24,07,112
P2’s Apple Watch,2022-08-24,07,68
P2’s Apple Watch,2022-08-24,07,112
P2’s Apple Watch,2022-08-24,07,71
P2’s Apple Watch,2022-08-24,07,29
P2’s Apple Watch,2022-08-24,07,41
P2’s Apple Watch,2022-08-24,07,18
P2’s Apple Watch,2022-08-24,07,26
P2’s Apple Watch,2022-08-24,07,24
P2 Phone,2022-08-24,06,287
P2’s Apple Watch,2022-08-24,07,10
P2’s Apple Watch,2022-08-24,07,14
P2’s Apple Watch,2022-08-24,07,30
P2’s Apple Watch,2022-08-24,07,9
P2’s Apple Watch,2022-08-24,07,16
P2’s Apple Watch,2022-08-24,07,29
P2’s Apple Watch,2022-08-24,07,21
P2’s Apple Watch,2022-08-24,07,41
P2’s Apple Watch,2022-08-24,07,20
P2’s Apple Watch,2022-08-24,07,49
P2’s Apple Watch,2022-08-24,07,35
P2’s Apple Watch,2022-08-24,08,23
P2’s Apple Watch,2022-08-24,08,1
P2’s Apple Watch,2022-08-24,08,52
